name,alias,iata,icao,call_sign,country,active,active_2,child_price_rate,
Private flight,\N,-,N/A,,,true,Y,0.3,
135 Airways,\N,,GNL,GENERAL,United States,false,N,0.3,
1Time Airline,\N,1T,RNX,NEXTIME,South Africa,true,Y,0.3,
2 Sqn No 1 Elementary Flying Training School,\N,,WYT,,United Kingdom,false,N,0.3,
213 Flight Unit,\N,,TFU,,Russia,false,N,0.3,
223 Flight Unit State Airline,\N,,CHD,CHKALOVSK-AVIA,Russia,false,N,0.3,
224th Flight Unit,\N,,TTF,CARGO UNIT,Russia,false,N,0.3,
247 Jet Ltd,\N,,TWF,CLOUD RUNNER,United Kingdom,false,N,0.3,
3D Aviation,\N,,SEC,SECUREX,United States,false,N,0.3,
40-Mile Air,\N,Q5,MLA,MILE-AIR,United States,true,Y,0.3,
4D Air,\N,,QRT,QUARTET,Thailand,false,N,0.3,
611897 Alberta Limited,\N,,THD,DONUT,Canada,false,N,0.3,
Ansett Australia,\N,AN,AAA,ANSETT,Australia,true,Y,0.3,
Abacus International,\N,1B,,,Singapore,true,Y,0.3,
Abelag Aviation,\N,W9,AAB,ABG,Belgium,false,N,0.3,
Army Air Corps,\N,,AAC,ARMYAIR,United Kingdom,false,N,0.3,
Aero Aviation Centre Ltd.,\N,,AAD,SUNRISE,Canada,false,N,0.3,
Aero Servicios Ejecutivos Internacionales,\N,,SII,ASEISA,Mexico,false,N,0.3,
Aero Biniza,\N,,BZS,BINIZA,Mexico,false,N,0.3,
Aero Albatros,\N,,ABM,ALBATROS ESPANA,Spain,false,N,0.3,
Aigle Azur,\N,ZI,AAF,AIGLE AZUR,France,true,Y,0.3,
Aloha Airlines,\N,AQ,AAH,ALOHA,United States,true,Y,0.3,
Alaska Island Air,\N,,AAK,ALASKA ISLAND,United States,false,N,0.3,
American Airlines,\N,AA,AAL,AMERICAN,United States,true,Y,0.3,
Aviation Management Corporation,\N,,AAM,AM CORP,United States,false,N,0.3,
Atlantis Airlines (USA),\N,,AAO,ATLANTIS AIR,United States,false,N,0.3,
Aerovista Airlines,\N,,AAP,AEROVISTA GROUP,United Arab Emirates,false,N,0.3,
Asiana Airlines,\N,OZ,AAR,ASIANA,Republic of Korea,true,Y,0.3,
Askari Aviation,\N,4K,AAS,AL-AAS,Pakistan,true,Y,0.3,
Australia Asia Airlines,\N,,AAU,AUSTASIA,Australia,false,N,0.3,
Astro Air International,\N,,AAV,ASTRO-PHIL,United States,false,N,0.3,
Afriqiyah Airways,\N,8U,AAW,AFRIQIYAH,Libya,true,Y,0.3,
Afrinat International Airlines,\N,Q9,AFU,,Gambia,false,N,0.3,
Afric'air Express,\N,,AAX,AFREX,Ivory Coast,false,N,0.3,
Allegiant Air,\N,G4,AAY,ALLEGIANT,United States,true,Y,0.3,
Angus Aviation,\N,,AAZ,ANGUS,Canada,false,N,0.3,
Artem-Avia,\N,,ABA,ARTEM-AVIA,Ukraine,false,N,0.3,
African Business and Transportations,\N,,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,false,N,0.3,
