Name,Alias,IATA,ICAO,call_sign,Country,Active,child_price_rate,
Private flight,\N,-,N/A,,,Y,0.3,
135 Airways,\N,,GNL,GENERAL,United States,N,0.3,
1Time Airline,\N,1T,RNX,NEXTIME,South Africa,Y,0.3,
2 Sqn No 1 Elementary Flying Training School,\N,,WYT,,United Kingdom,N,0.3,
213 Flight Unit,\N,,TFU,,Russia,N,0.3,
223 Flight Unit State Airline,\N,,CHD,CHKALOVSK-AVIA,Russia,N,0.3,
224th Flight Unit,\N,,TTF,CARGO UNIT,Russia,N,0.3,
247 Jet Ltd,\N,,TWF,CLOUD RUNNER,United Kingdom,N,0.3,
3D Aviation,\N,,SEC,SECUREX,United States,N,0.3,
40-Mile Air,\N,Q5,MLA,MILE-AIR,United States,Y,0.3,
4D Air,\N,,QRT,QUARTET,Thailand,N,0.3,
611897 Alberta Limited,\N,,THD,DONUT,Canada,N,0.3,
Ansett Australia,\N,AN,AAA,ANSETT,Australia,Y,0.3,
Abacus International,\N,1B,,,Singapore,Y,0.3,
Abelag Aviation,\N,W9,AAB,ABG,Belgium,N,0.3,
Army Air Corps,\N,,AAC,ARMYAIR,United Kingdom,N,0.3,
Aero Aviation Centre Ltd.,\N,,AAD,SUNRISE,Canada,N,0.3,
Aero Servicios Ejecutivos Internacionales,\N,,SII,ASEISA,Mexico,N,0.3,
Aero Biniza,\N,,BZS,BINIZA,Mexico,N,0.3,
Aero Albatros,\N,,ABM,ALBATROS ESPANA,Spain,N,0.3,
Aigle Azur,\N,ZI,AAF,AIGLE AZUR,France,Y,0.3,
Aloha Airlines,\N,AQ,AAH,ALOHA,United States,Y,0.3,
Alaska Island Air,\N,,AAK,ALASKA ISLAND,United States,N,0.3,
American Airlines,\N,AA,AAL,AMERICAN,United States,Y,0.3,
Aviation Management Corporation,\N,,AAM,AM CORP,United States,N,0.3,
Atlantis Airlines (USA),\N,,AAO,ATLANTIS AIR,United States,N,0.3,
